subject,targeted_region,neuromodulator,X-ml_um,Y-ap_um,Z-dv_um,depth,theta,phi,roll,expression,fiber_diameter_um,fiber_length_mm,numerical_aperture,fiber_tip,surgery_date,notes
ZFM-02128,DR,5HT,0,-6540,,4140,32,-90,0,1,400,5,0.57,FLT,2021-03-19,
ZFM-03059,DR,5HT,0,-6640,,3900,32,-90,0,1,200,4,0.48,FLT,2021-08-09,
ZFM-03062,MR,5HT,1500,-4360,,3900,19.2,0,0,1,400,5,0.57,FLT,2021-08-10,
ZFM-03065,DR,5HT,0,-6540,,3950,32,-90,0,1,400,4,0.57,FLT,2021-08-11,
ZFM-03061,DR,5HT,0,-6540,,3585,32,-90,0,1,200,5,0.48,FLT,2021-08-12,
ZFM-03061,MR,5HT,1500,-4360,,4550,19,0,0,1,200,5,0.48,FLT,2021-08-12,
ZFM-03447,VTA,DA,500,-3100,-4280,4280,0,0,0,1,400,5,0.57,FLT,2021-10-21,
ZFM-03448,SNc,DA,1180,-3120,-4280,4280,0,0,0,1,200,5,0.48,FLT,2021-10-22,
ZFM-03450,SNc,DA,1500,-2920,-4015,4015,0,0,0,0,200,5,0.48,FLT,2021-10-23,
ZFM-03450,SNc,DA,-1500,-2920,-4015,4015,0,0,0,0,200,5,0.48,FLT,2021-10-23,
ZFM-04026,VTA,DA,500,-3100,-4210,4210,0,0,0,1,200,5,0.48,FLT,2022-01-16,
ZFM-04019,SNc,DA,1500,-3120,-3950,3950,0,0,0,1,200,5,0.48,FLT,2022-01-17,
ZFM-04022,VTA,DA,-500,-3100,-4200,4200,0,0,0,1,200,5,0.48,FLT,2022-01-18,
ZFM-04022,SNc,DA,1350,-3120,-4100,4100,0,0,0,1,200,5,0.48,FLT,2022-01-18,
ZFM-04392,DR,5HT,0,-6540,,3585,32,-90,0,1,200,4,0.48,FLT,2022-04-21,
ZFM-04392,VP,5HT,1750,-1940,-3000,3000,0,0,0,1,200,4,0.48,FLT,2022-04-21,
ZFM-04392,MGv,5HT,-2000,-3160,-3000,3000,0,0,0,1,200,4,0.48,FLT,2022-04-21,
ZFM-04533,LC,NE,850,-5450,-3900,3900,0,0,0,1,200,4,0.48,FLT,2022-04-22,
ZFM-04534,LC,NE,850,-5450,-3600,3600,0,0,0,1,200,4,0.48,FLT,2022-04-23,
ZFM-04534,CP,NE,-1250,740,-3900,3900,0,0,0,1,200,4,0.48,FLT,2022-04-23,
ZFM-05235,DR,5HT,0,-6640,,4050,32,-90,0,1,400,5,0.57,FLT,2022-09-26,
ZFM-05236,DR,5HT,0,-6640,,3850,32,-90,0,1,400,5,0.57,FLT,2022-09-27,
ZFM-05245,DR,5HT,0,-6640,,3800,32.25,-90,0,1,200,4,0.48,FLT,2022-09-28,
ZFM-05248,DR,5HT,0,-6600,,3900,32,-90,0,1,200,5,0.48,FLT,2022-09-30,
ZFM-05645,NBM,ACh,-1700,-650,,4285,0.5,0,0,0,400,4,0.48,FLT,2023-02-03,
ZFM-06268,LC,NE,850,-5450,-3600,3600,0,0,0,1,200,4,0.57,FLT,2023-05-22,
ZFM-06271,LC,NE,850,-5450,-3600,3600,0,0,0,1,200,4,0.57,FLT,2023-05-23,
ZFM-06272,LC,NE,850,-5450,-3600,3600,0,0,0,1,200,4,0.57,FLT,2023-05-23,
