subject,date,NM,eid,fiber,region
ZFM-03059,2021-08-27,5HT,ba01bf35-8a0d-4ca3-a66e-b3a540b21128,probe01,Region1G
ZFM-03061,2021-08-27,5HT,35b97c43-7d06-444d-90ec-aa1651c70e8c,probe04,Region4G
ZFM-03061,2021-08-27,5HT,35b97c43-7d06-444d-90ec-aa1651c70e8c,probe05,Region6G
ZFM-03062,2021-08-27,5HT,d2453284-c893-4a54-a5e7-f015854c727f,probe02,Region4G
ZFM-03065,2021-08-27,5HT,fe2a712b-014b-47e7-b2ac-f85d0571cf44,probe03,Region1G
ZFM-03059,2021-08-30,5HT,00575787-7b8a-431a-a70e-1df857871a64,probe01,Region1G
ZFM-03061,2021-08-30,5HT,23f10df6-fa11-44d1-8f71-07145f3c65a1,probe04,Region4G
ZFM-03061,2021-08-30,5HT,23f10df6-fa11-44d1-8f71-07145f3c65a1,probe05,Region6G
ZFM-03062,2021-08-30,5HT,c2b953bd-e24e-410a-be4e-b3dd6ef373b8,probe02,Region4G
ZFM-03065,2021-08-30,5HT,f2a6559d-1e45-4e83-8f65-1295ef50ed4b,probe03,Region1G
ZFM-03059,2021-08-31,5HT,12b299c1-69de-4c40-a8a3-c83d13d77a31,probe01,Region1G
ZFM-03061,2021-08-31,5HT,ecb124ad-ff23-497b-9143-8383f5dc55dd,probe05,Region4G
ZFM-03061,2021-08-31,5HT,ecb124ad-ff23-497b-9143-8383f5dc55dd,probe04,Region6G
ZFM-03062,2021-08-31,5HT,b7b186ee-1b36-4b1a-ae15-70078c472f97,probe02,Region4G
ZFM-03065,2021-08-31,5HT,c5cdd496-7400-4c0f-b326-55016bce4fcf,probe03,Region1G
ZFM-03059,2021-09-01,5HT,fd22820d-a2c2-4c06-b90e-f399344e1c0a,probe01,Region1G
ZFM-03061,2021-09-01,5HT,5a7a0c65-f296-45e6-8a30-64c2e90f5047,probe04,Region4G
ZFM-03061,2021-09-01,5HT,5a7a0c65-f296-45e6-8a30-64c2e90f5047,probe05,Region6G
ZFM-03062,2021-09-01,5HT,27f7dd36-9a7c-4bbb-98ba-7d0c9efc9c6e,probe02,Region4G
ZFM-03065,2021-09-01,5HT,386e3195-48c0-4e5a-8e87-63482a68b8d1,probe03,Region1G
ZFM-03059,2021-09-02,5HT,272c7a84-1f76-4305-a355-4e2149726a9d,probe01,Region1G
ZFM-03061,2021-09-02,5HT,245e3c34-df59-49df-8644-19a41de2b5b1,probe04,Region4G
ZFM-03061,2021-09-02,5HT,245e3c34-df59-49df-8644-19a41de2b5b1,probe05,Region6G
ZFM-03062,2021-09-02,5HT,a4d68a06-ffc3-43f3-ae1d-f4d05124ed22,probe02,Region4G
ZFM-03065,2021-09-02,5HT,92bf91b5-75db-4e95-8623-fd32c615558f,probe03,Region1G
ZFM-03059,2021-09-03,5HT,e04536b2-b161-478e-af3a-d04bc1ab33ee,probe01,Region1G
ZFM-03061,2021-09-03,5HT,ac37db31-64f3-4558-a255-3f5c49154b9b,probe04,Region4G
ZFM-03061,2021-09-03,5HT,ac37db31-64f3-4558-a255-3f5c49154b9b,probe05,Region6G
ZFM-03062,2021-09-03,5HT,3f4e6cd3-e402-4de5-84c8-f0ebb9a93fe8,probe02,Region4G
ZFM-03065,2021-09-03,5HT,48c4f78b-92f7-4ee2-b9c1-5f807197b5e9,probe03,Region1G
ZFM-03059,2021-09-06,5HT,9557f20a-e1ef-44d5-9859-20d1c3854175,probe01,Region1G
ZFM-03061,2021-09-06,5HT,b0e8c029-4bc5-4eb5-99b9-9896164efaea,probe04,Region4G
ZFM-03061,2021-09-06,5HT,b0e8c029-4bc5-4eb5-99b9-9896164efaea,probe05,Region6G
ZFM-03062,2021-09-06,5HT,b1e38acd-f65f-4395-ae4f-8fee34ca40c9,probe02,Region4G
ZFM-03065,2021-09-06,5HT,df775d7e-3890-4aa3-b7ef-0c6fe6f9abf8,probe03,Region1G
ZFM-03059,2021-09-07,5HT,0006f59b-b214-432a-bfb8-bdf66e009c91,probe01,Region1G
ZFM-03061,2021-09-07,5HT,58861dac-4b4c-4f82-83fb-33d98d67df3a,probe04,Region4G
ZFM-03061,2021-09-07,5HT,58861dac-4b4c-4f82-83fb-33d98d67df3a,probe05,Region6G
ZFM-03062,2021-09-07,5HT,40909756-d0ce-4146-9588-249bf97f074b,probe02,Region4G
ZFM-03065,2021-09-07,5HT,7c67fbd4-18c1-42f2-b989-8cbfde0d2374,probe03,Region1G
ZFM-03059,2021-09-08,5HT,4edc1662-a165-48ef-a332-7172bfca71e7,probe01,Region1G
ZFM-03061,2021-09-08,5HT,c0695424-7477-4c43-8a28-9d9159ae7018,probe04,Region4G
ZFM-03061,2021-09-08,5HT,c0695424-7477-4c43-8a28-9d9159ae7018,probe05,Region6G
ZFM-03062,2021-09-08,5HT,e470c52d-25bc-4dac-9679-2dc0b7a3677f,probe02,Region4G
ZFM-03065,2021-09-08,5HT,26d6c415-23b0-4c49-b73e-b6cf2693df4d,probe03,Region1G
ZFM-03059,2021-09-09,5HT,dd549116-68a1-462d-90ef-f4e0ec5c69fc,probe01,Region1G
ZFM-03061,2021-09-09,5HT,b056ded5-b123-47eb-a62a-620fd79b130d,probe04,Region4G
ZFM-03061,2021-09-09,5HT,b056ded5-b123-47eb-a62a-620fd79b130d,probe05,Region6G
ZFM-03062,2021-09-09,5HT,24f6c366-99b8-4206-94f1-35a2067ce384,probe02,Region4G
ZFM-03065,2021-09-09,5HT,38c3ebde-c45d-442e-ac61-f42161cfc984,probe03,Region1G
ZFM-03059,2021-09-10,5HT,68f894bf-2268-4773-aa8d-ac8ab168320e,probe01,Region1G
ZFM-03061,2021-09-10,5HT,e8180709-33f2-4f1f-87a8-af597c9c7260,probe04,Region4G
ZFM-03061,2021-09-10,5HT,e8180709-33f2-4f1f-87a8-af597c9c7260,probe05,Region6G
ZFM-03062,2021-09-10,5HT,f7bc369d-2408-4d23-a586-c58363b2a02b,probe02,Region4G
ZFM-03065,2021-09-10,5HT,32eaad6d-fd35-46e9-b7cb-22656d8e3375,probe03,Region1G
ZFM-03059,2021-09-13,5HT,e9bdcf2b-d0db-42f8-8dfe-3bb82711ff68,probe01,Region1G
ZFM-03061,2021-09-13,5HT,54629413-fda5-4bbc-b88f-e8a30ccf9ba3,probe04,Region4G
ZFM-03061,2021-09-13,5HT,54629413-fda5-4bbc-b88f-e8a30ccf9ba3,probe05,Region6G
ZFM-03062,2021-09-13,5HT,035fa1d0-cc18-49fc-860f-044d57e4de25,probe02,Region4G
ZFM-03065,2021-09-13,5HT,72e564aa-8416-48fb-a2b9-f9d23e6c7e4b,probe03,Region1G
ZFM-03059,2021-09-14,5HT,f869242e-d1f9-4b7e-a83d-7c794ca6ebbe,probe01,Region1G
ZFM-03061,2021-09-14,5HT,39f5f80b-ac56-460c-a10b-a92e00cfd5e4,probe04,Region4G
ZFM-03061,2021-09-14,5HT,39f5f80b-ac56-460c-a10b-a92e00cfd5e4,probe05,Region6G
ZFM-03062,2021-09-14,5HT,8d1f87d1-58bf-4ac9-bc3b-9291ccc17535,probe02,Region4G
