subject,date,eid,ROI
ZFM-06171,2023-08-18,3b0199af-0546-42ea-8a5b-e2b1b0c05325,Region3G
ZFM-05245,2023-03-13,19ddec16-aef3-403d-8b75-217a38182dce,Region4G
ZFM-04533,2022-06-23,ae863de5-ad09-406a-99c9-c3264e4568b9,Region6G
ZFM-04392,2023-02-08,03d9e3ca-5472-4f31-8137-d153a4af5524,Region3G
ZFM-03448,2021-12-13,2c9cffdb-7b36-49ab-acf4-0f91de05626b,Region4G
ZFM-03059,2021-09-21,e3d2b346-ebf3-492c-a0fa-997f464e47f8,Region1G
ZFM-05245,2023-03-29,e7c37ff1-e3ee-4e82-813f-f408af91730c,Region3G
ZFM-03061,2021-09-10,e8180709-33f2-4f1f-87a8-af597c9c7260,Region6G
ZFM-05236,2023-07-04,cb7994bf-f063-46ea-bd05-aa6e9a2fc7ef,Region3G
ZFM-04019,2022-07-13,41cc34ab-deda-480b-b957-380abb2117c0,Region5G
ZFM-06271,2023-09-05,4d056e4e-1285-43fe-b9b6-b9f414bd808e,Region3G
ZFM-06275,2024-01-11,8eac586e-7e81-4430-b3a4-7a1412adf39d,Region6G
ZFM-05236,2023-03-14,fdae1a4d-639e-4d22-b065-777cebd3742f,Region3G
ZFM-04022,2022-06-27,384bf21a-eba2-43ff-b177-b6455e65882a,Region5G
ZFM-04534,2023-03-16,2e7a8008-c655-47c0-aaae-31c8a9f473e5,Region4G
ZFM-05245,2023-03-23,b52fcc2d-2079-4690-ba28-46761d098bf4,Region3G
ZFM-04392,2022-07-20,b46fed22-974a-448b-854f-9ca7731a10c2,Region5G
ZFM-05248,2023-08-17,24415d91-8a3a-440b-beee-2d4388a4b908,Region4G
ZFM-05236,2022-11-25,d6c0a1b8-2c34-4cd4-976c-ab384254ec66,Region3G
ZFM-06275,2023-09-08,b1615789-6454-4fd5-8302-72f588ac7520,Region5G
ZFM-04392,2022-07-08,69ac6890-de0c-4036-b017-fa747e4fdcc8,Region6G
ZFM-06272,2023-08-18,90585e8c-c2a9-4249-a836-2e00f876ee4c,Region4G
ZFM-03061,2021-10-15,af95e228-7c1c-4dfb-b006-2ee5de75945a,Region6G
ZFM-03059,2021-10-04,a8108cf7-35c1-4a3a-b712-7b1cf4a8f75b,Region1G
ZFM-04392,2023-01-13,75cf3bf9-4217-46ce-8887-b6a2ec372d58,Region4G
ZFM-05235,2023-06-21,66d7a5cf-28f3-4360-9009-4680edb00cbb,Region4G
ZFM-03059,2021-10-12,b2f1186e-8c04-46c9-b4a7-e5e9785ff0ca,Region1G
