subject,date,eid,ROI
ZFM-04019,2023-06-27,61e2e055-e7ba-4e10-85ac-50f2ce4e82c5,Region3G
ZFM-04019,2023-04-04,f8980936-90f3-4285-8ec2-a9a051f7f7e4,Region3G
ZFM-04019,2023-04-03,b0d53975-2e58-480f-8703-3a2a05a2bd24,Region3G
ZFM-04019,2023-03-28,4f99c144-76e2-4f60-90a2-289f952c8eb6,Region3G
ZFM-04019,2023-03-24,82114940-6291-4e2c-8d3e-4f3b73c081de,Region3G
ZFM-04019,2023-03-22,b5e94727-4842-4e81-830a-2b48b60ecf0b,Region4G
ZFM-04019,2023-03-16,46fe69ff-d001-4608-a15e-d5e029c14fc3,Region3G
ZFM-04019,2023-03-02,89b8ef70-e620-49c2-a0f7-09890ba9fc0e,Region3G
ZFM-04019,2023-01-19,382c9380-a2f7-411f-949d-a6df6c00747f,Region3G
ZFM-04019,2023-01-12,e316594f-bcdb-42ba-b8e8-68d80a456a34,Region3G
ZFM-04019,2023-01-11,76f443fb-a06d-4ffd-9725-23d5c0d40386,Region3G
ZFM-04019,2023-01-10,9e8c2697-f5f7-42f6-b483-5b9af9c1652e,Region3G
ZFM-04019,2023-01-06,c8b2c767-4e60-4872-9e20-7a43434c9a5d,Region3G
ZFM-04019,2022-12-30,0f41a88d-6746-4754-b8da-2992dcfcb55d,Region4G
ZFM-04019,2022-12-29,cb626478-5372-48c2-803f-0d1ac8255564,Region4G
ZFM-04019,2022-11-24,ffb21d02-6b0a-4a90-a1a2-5a721bcfef7b,Region3G
ZFM-04019,2022-09-21,80bcab5a-20fd-4cc5-8a0e-e1e0149da372,Region3G
ZFM-04019,2022-09-16,69544b1b-7788-4b41-8cad-2d56d5958526,Region3G
ZFM-04019,2022-09-15,ebb0a831-5c1d-453b-8d0b-923c0eae9929,Region3G
ZFM-04022,2023-07-11,afef8af4-2812-49a9-be2a-85ef210a28e3,Region4G
ZFM-04022,2023-07-03,2b051f03-6723-476f-b8e6-f309a119dde7,Region4G
ZFM-04022,2023-01-12,67231166-8980-4146-ad6d-3d7bee327ccf,Region4G
ZFM-04022,2023-01-10,537a8269-3cdb-4738-9b0f-1134cd4e3d0d,Region4G
ZFM-04022,2022-12-30,a1ccc8ed-9829-4af8-91fd-cc1c83b74b98,Region4G
ZFM-04022,2022-11-29,65f90bf6-5124-430a-ab73-134ac6fb374f,Region3G
ZFM-04022,2023-01-12,67231166-8980-4146-ad6d-3d7bee327ccf,Region3G
ZFM-04022,2023-01-10,537a8269-3cdb-4738-9b0f-1134cd4e3d0d,Region3G
ZFM-04022,2022-12-30,a1ccc8ed-9829-4af8-91fd-cc1c83b74b98,Region3G
ZFM-04022,2022-11-29,65f90bf6-5124-430a-ab73-134ac6fb374f,Region4G
ZFM-04392,2023-02-09,f96226d3-926c-434f-89f8-8571154534b5,Region3G
ZFM-04392,2023-02-08,03d9e3ca-5472-4f31-8137-d153a4af5524,Region3G
ZFM-04392,2023-02-07,b8eac593-7661-4b9d-945f-6bf19e5197ba,Region3G
ZFM-04392,2023-02-03,e637617d-4ef5-403e-9f3d-14cac9599e02,Region3G
ZFM-04392,2023-02-02,dd521bae-7ba0-43aa-a3cb-c1e2924ae18b,Region3G
ZFM-04392,2023-02-01,87f301e0-3776-4094-9399-c98cc053f501,Region3G
ZFM-04392,2023-02-01,87f301e0-3776-4094-9399-c98cc053f501,Region4G
ZFM-04392,2023-01-31,13db60fb-0fb9-47d2-9b39-b26530120e3f,Region3G
ZFM-04392,2023-01-26,0dc40f70-791a-45e8-9e83-b692b776ebcf,Region3G
ZFM-04392,2023-01-13,75cf3bf9-4217-46ce-8887-b6a2ec372d58,Region4G
ZFM-04392,2023-01-12,1222465e-796f-4dd9-bc80-4c2db028568c,Region4G
ZFM-05235,2023-10-24,96e8c6c1-5a60-4f62-aa8d-cf655cd2f4fa,Region3G
ZFM-05235,2023-10-21,20fb5a24-a1b0-4538-803c-cf13eaff2af6,Region6G
ZFM-05235,2023-10-19,81ae2b88-c541-420b-a3af-4fb258c84f4b,Region3G
ZFM-05235,2023-10-17,a8b6486f-844b-44d0-bd9b-38904fb15707,Region3G
ZFM-05235,2023-10-06,0c345c56-bc8d-46ac-b778-6d03589d814b,Region3G
ZFM-05235,2023-08-31,9d9c2211-3a55-4556-8bf8-b36d2f2deaf1,Region5G
ZFM-05235,2023-08-28,e6fc6ca9-6e57-4c0b-b436-5c63faae843d,Region5G
ZFM-05235,2023-08-24,933765b5-1f4e-4877-b889-7cc87f6ddb64,Region3G
ZFM-05235,2023-08-23,a196fce9-7eae-4c11-ae01-25a9aa59b593,Region3G
ZFM-05235,2023-07-24,8a328917-6ce3-4a8e-8d97-a21456187702,Region3G
ZFM-05235,2023-07-21,16f482a8-457e-467c-8528-18b7d2da62c1,Region4G
ZFM-05235,2023-07-20,7c961885-9c46-4fc3-b76e-f3c0b24b5aa9,Region4G
ZFM-05235,2023-07-19,c36f9eb1-7512-4271-aa24-f57ed2c2641d,Region3G
ZFM-05235,2023-07-14,601228ff-a945-46c0-989f-0544d527ecc1,Region3G
ZFM-05235,2023-07-12,9e8c9727-01de-4384-a274-5f0881d806f0,Region4G
ZFM-05235,2023-07-11,846e7135-06cb-4f56-8482-93ee82030fb8,Region3G
ZFM-05235,2023-07-07,3fbea691-8a43-4ae5-b2ff-d22ed34070d4,Region4G
ZFM-05235,2023-07-06,5fb4cceb-744f-4505-8892-054ae3581c55,Region4G
ZFM-05235,2023-07-05,c6206a6a-82d7-4b00-a22f-284e142afb05,Region3G
ZFM-05235,2023-07-04,ce9e5e1e-9aa9-4386-9077-1c74484efb22,Region3G
ZFM-05235,2023-07-03,ff0ca404-8f5c-4a6c-9535-d8e62270112f,Region4G
ZFM-05235,2023-06-27,770c1a1f-3b7b-43e1-934e-102a3b22faf9,Region3G
ZFM-05235,2023-06-26,ec6db5c7-23e9-4e0d-9feb-b8774e30a388,Region5G
ZFM-05235,2023-06-23,6b9f04a1-d699-44b6-9b95-5bfc340fa52b,Region4G
ZFM-05235,2023-06-21,66d7a5cf-28f3-4360-9009-4680edb00cbb,Region4G
ZFM-05236,2023-07-05,5b7c1f53-0c33-4ac3-8838-2926f46abf13,Region3G
ZFM-05236,2023-07-04,cb7994bf-f063-46ea-bd05-aa6e9a2fc7ef,Region3G
ZFM-05236,2023-07-03,e69221c7-b533-42dc-8631-000279a45a70,Region4G
ZFM-05236,2023-06-27,57c0be0d-5010-4257-bab5-dbf7eca081f3,Region4G
ZFM-05236,2023-06-26,7498c624-f308-47f1-b44b-9354026816b9,Region4G
ZFM-05236,2023-06-23,ba98d015-7c70-4d15-bde3-658d667e72ff,Region4G
ZFM-05236,2023-06-21,8bfac9d7-fbfe-4175-b5df-58ff91b5acdd,Region4G
ZFM-05245,2023-04-04,5ca99111-68bd-40cf-a582-7956a9057b0d,Region3G
ZFM-05245,2023-03-31,a54d305f-2089-47ac-8e75-134db4fd3ed9,Region3G
ZFM-05245,2023-03-29,e7c37ff1-e3ee-4e82-813f-f408af91730c,Region3G
ZFM-05245,2023-03-28,d226644e-d10b-4142-9e5e-17aa91f378d6,Region3G
ZFM-05245,2023-03-24,7450da43-665b-48d2-ac4d-29082d58ae0a,Region4G
ZFM-05245,2023-03-23,b52fcc2d-2079-4690-ba28-46761d098bf4,Region3G
ZFM-05245,2023-03-22,16aa7570-578f-4daa-8244-844716fb1320,Region4G
ZFM-05245,2023-03-20,26b1e8e2-47c8-4925-9ae5-43929635294d,Region4G
ZFM-05245,2023-03-17,40da378d-f08f-4c15-9e3e-8a04a0bf4e23,Region4G
ZFM-05245,2023-03-16,5743661d-a36d-4c4f-a2ef-51fbeee79b7c,Region4G
ZFM-05245,2023-03-15,512c88d3-1efa-4dfe-a73b-fa9117db5454,Region4G
ZFM-05245,2023-03-14,0e94299d-0964-4c4b-be26-8100bc7e3d68,Region4G
ZFM-05245,2023-03-13,19ddec16-aef3-403d-8b75-217a38182dce,Region4G
ZFM-05245,2023-03-10,7d1671eb-6e78-4944-a0f8-8e45df765468,Region4G
ZFM-05245,2023-03-06,2ac33f48-6efb-4544-be5c-5ec2c6bd023f,Region4G
ZFM-05245,2023-03-02,82e249d6-fdd8-4cdc-927f-d0ff45063c85,Region4G
ZFM-05245,2023-03-01,ec02dc0b-7a44-46d9-a140-8400cc5092a7,Region3G
ZFM-05245,2023-07-14,5104ba1a-9c35-470a-8f6d-69a07349e19b,Region4G
ZFM-05245,2023-07-12,4f9da1a0-5465-410b-83f4-e852cfe61107,Region3G
